brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
BCBG Max Azria,lace stripe pattern A-Line shirt-dress navy,a1144535,1/26/21,1/26/21,7days,D,Y
S blanc,ruffle basic pattern A-Line dress mint,a1144535,1/26/21,1/26/21,7days,D,Y
Mojosphine,basic pattern H-Line dress grey,a1144535,1/26/21,1/26/21,7days,D,Y
Thom Browne,roll up basic pattern slacks navy,a1144523,1/26/21,1/26/21,7days,B,
Thom Browne,oxford basic tee gray,a1144523,1/26/21,1/26/21,7days,T,
It michaa,button basic pattern coat brown,a1144526,1/26/21,1/26/21,4days,O,Y
Gucci,mamont chain mini cross bag black,a1144520,1/26/21,1/26/21,4days,BA,Y
Michael Michael Kors,belt basic pattern padding-outer black,a1144470,1/25/21,1/26/21,4days,O,Y
Nakes,printing pattern hoodie grey & pocket basic pattern jogger-pants grey,a1144470,1/25/21,1/26/21,4days,TP,Y
Burberry,classic cross bag black,a1144470,1/25/21,1/26/21,4days,BA,Y
Saint Laurent,quilted shoulder bag black,a19187,10/1/18,1/26/21,7days,BA,Y
Spring Crocus,shawl collar long coat beige,a1144192,1/23/21,1/26/21,4days,O,Y
Allsaints,v-neck flower pattern flare dress,a1144192,1/23/21,1/26/21,4days,D,Y
Prada,gradation color padding jumper,a1105887,6/24/20,1/25/21,7days,O,Y
El estilo de Claire,neck frill and ribbon detail blouse,a1144468,1/25/21,1/25/21,4days,T,Y
Theory,button check pattern doublebreasted-jacket khaki,a1144474,1/25/21,1/25/21,7days,O,Y
Celine,trapeze tote bag black,a1142968,1/14/21,1/25/21,4days,BA,Y
Gucci,button flower pattern H-Line dress lavender,a1144458,1/25/21,1/25/21,4days,D,Y
Polo Ralph Lauren,pocket check pattern wool duffle-coat bluegreen,a1128618,11/4/20,1/25/21,7days,O,Y
Balenciaga,gold logo point tote bag blue,a1144445,1/25/21,1/25/21,4days,BA,Y
Gucci,dionysos velvet chain shoulder bag navy,a1143759,1/19/21,1/25/21,7days,BA,Y
Yves Saint Laurent,chevron quilting cross bag black,a110269,10/19/18,1/25/21,7days,BA,Y
Burberry,button Quilting pattern padding-outer beige,a167357,12/20/19,1/25/21,7days,O,Y
Prada,gold logo crossbody bag hotpink,a168919,12/28/19,1/25/21,7days,BA,Y
Fayewoo,see-through lace detail tunic dress black,a1144380,1/25/21,1/25/21,4days,D,Y
Eight Slate,basic pattern unbalance skirt skyblue,a185351,2/29/20,1/25/21,4days,B,Y
ACNE STUDIOS,belt basic pattern coat pink,a1144378,1/25/21,1/25/21,7days,O,Y
Gucci,sylvie mini chain ribbon bag white,a1144355,1/24/21,1/24/21,7days,BA,Y
Salvatore Ferragamo,ginny bag M black silver chain,a1144105,1/22/21,1/24/21,7days,BA,
Cos,pocket basic pattern jump-suit brown,a1133038,11/25/20,1/24/21,4days,D,Y
Gucci,logo pointed cross bag,a1144326,1/24/21,1/24/21,7days,BA,Y
Yves Saint Laurent,belle de jour clutch black,a117125,2/27/19,1/24/21,7days,BA,Y
Yves Saint Laurent,kate small monogram bag beige,a1134516,12/1/20,1/24/21,7days,BA,Y
Gucci,vintage web GG backpack,a1144267,1/24/21,1/24/21,7days,BA,Y
Chanel,2.55 classic patent bag navy,a1137772,12/18/20,1/23/21,7days,BA,Y
Bottega Veneta,intrecciato shoulder bag purple,a1138161,12/19/20,1/23/21,4days,BA,Y
Ted Baker,lace basic pattern A-Line dress black,a1132003,11/21/20,1/23/21,7days,D,Y
Not Your Rose,ruffle flower pattern A-Line halterneck-dress yellow,a1109071,7/24/20,1/23/21,4days,D,Y
Max Mara,pocket basic pattern coat khaki,a1139929,12/26/20,1/22/21,4days,O,
Adidas X Stella Mccartney,pocket basic pattern fullzip-jacket black,a154850,11/9/19,1/22/21,4days,O,Y
Yves Saint Laurent,logo clutch bag black,a1144097,1/22/21,1/22/21,4days,BA,Y
Vivienne Westwood Red Label,ruffle stripe blouse,a1142610,1/13/21,1/22/21,7days,T,Y
Wonder Style,fur detailed shining jacket gold,a1143701,1/18/21,1/22/21,4days,O,Y
Versace,colorful pattern pointed shirt multi,a1143701,1/18/21,1/22/21,4days,T,Y
Sacai,mixed pattern high neck blouse,a1143701,1/18/21,1/22/21,4days,T,Y
Burberry,button basic pattern wool jacket black,a1143701,1/18/21,1/22/21,4days,O,Y
Versace,pocket graphics pattern sweat-pants white,a1143701,1/18/21,1/22/21,4days,B,Y
H&Moschino,pocket graphics pattern hoodie yellow,a1143701,1/18/21,1/22/21,4days,T,Y
Balenciaga,printing pattern top multi,a1143701,1/18/21,1/22/21,4days,T,Y
Yves Saint Laurent,monogram envelope chain cross bag,a1144045,1/22/21,1/22/21,4days,BA,Y
Prada,small logo classic two way bag black,a1144011,1/21/21,1/22/21,4days,BA,Y
Saint Laurent,chevron clutch black,a1144042,1/22/21,1/22/21,7days,BA,Y
Saint Laurent,quilted calfskin shoulder bag,a1141954,1/10/21,1/22/21,4days,BA,Y
Gucci,mamont chain bag red,a1144008,1/21/21,1/21/21,7days,BA,Y
Gucci,padlock GG canvas shoulder bag,a186345,3/4/20,1/21/21,7days,BA,Y
Jain Song,button basic pattern jacket black & pocket basic pattern slacks black,a121913,5/5/19,1/21/21,4days,TP,Y
Louis Vuitton,alma epi pm tote bag black,a178166,1/29/20,1/21/21,7days,BA,Y
Delvaux,brillant GM satchel bag,a111461,11/14/18,1/21/21,4days,BA,Y
More Or Less,fur texture crop jacket purple,a175136,1/18/20,1/21/21,4days,O,Y
Burberry,belt check pattern trench-coat beige,a1142838,1/13/21,1/21/21,7days,O,Y
Prada,saffiano lux M gray,a1143269,1/15/21,1/21/21,4days,BA,Y
Jigott,belted detail wrap dress blue,a1143322,1/15/21,1/21/21,4days,D,Y
Balenciaga,ville logo bag white,a172349,1/10/20,1/21/21,4days,BA,Y
Vivienne Westwood,button basic pattern shirts black,a172349,1/10/20,1/21/21,4days,T,Y
Christian Dior,backless crop knit beige,a1141952,1/10/21,1/21/21,4days,T,Y
Yves Saint Laurent,chevron pattern chain bag beige,a1140640,12/31/20,1/21/21,4days,BA,Y
Comme des Garcons,embroidery stripe pattern shirts blue,a1143118,1/14/21,1/21/21,7days,T,Y
Chanel,stripe pattern pointed cardigan multi,a1140707,12/31/20,1/21/21,7days,O,Y
khrisjoy,pocket basic pattern padding-outer purple,a1121202,9/24/20,1/21/21,7days,O,Y
Louis Vuitton,monogram shoulder bag black,a112106,11/27/18,1/21/21,7days,BA,Y
Gucci,buckle shirt & embroidery lace skirt charcoal,a1132297,11/22/20,1/21/21,7days,TP,Y
Molliolli,pocket basic pattern fur-outer black,a175862,1/20/20,1/21/21,7days,O,Y
Dior,croisiere patent lady bag,a1121708,9/28/20,1/21/21,4days,BA,Y
Chanel,button tweed pattern doublebreasted-coat multi & tweed pattern skirt multi,a1127979,10/31/20,1/21/21,7days,TP,Y
Gucci,dionysus cross bag black,a140509,9/15/19,1/21/21,4days,BA,Y
